Design Name,Type,Tile Design Image Path,Design Preview Image Path,Size,Tile Class,Characteristics
NORWAY CREAMA,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NORWAY CREAMA_tile_design.png,extracted_images\60x60 pgvt\NORWAY CREAMA_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
NORWAY BIANCO,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NORWAY BIANCO_tile_design.png,extracted_images\60x60 pgvt\NORWAY BIANCO_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
NORWAY LIGHT,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NORWAY LIGHT_tile_design.png,extracted_images\60x60 pgvt\NORWAY LIGHT_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
NORWAY GREY,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NORWAY GREY_tile_design.png,extracted_images\60x60 pgvt\NORWAY GREY_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
NEXUS LIGHT,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NEXUS LIGHT_tile_design.png,extracted_images\60x60 pgvt\NEXUS LIGHT_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
NEXUS BIANCO,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NEXUS BIANCO_tile_design.png,extracted_images\60x60 pgvt\NEXUS BIANCO_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
NEXUS GRIS,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\NEXUS GRIS_tile_design.png,extracted_images\60x60 pgvt\NEXUS GRIS_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
ARISTON GRAY,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\ARISTON GRAY_tile_design.png,extracted_images\60x60 pgvt\ARISTON GRAY_design_preview.png,60x60em,High Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
ATLANTIC ONYX,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\ATLANTIC ONYX_tile_design.png,extracted_images\60x60 pgvt\ATLANTIC ONYX_design_preview.png,60x60em,High Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
KASHMIRI ONYX,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\KASHMIRI ONYX_tile_design.png,extracted_images\60x60 pgvt\KASHMIRI ONYX_design_preview.png,60x60em,High Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
KILIMANJARO ONY,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\KILIMANJARO ONY_tile_design.png,extracted_images\60x60 pgvt\KILIMANJARO ONY_design_preview.png,60x60em,High Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
BLUE VINTAGE,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\BLUE VINTAGE_tile_design.png,extracted_images\60x60 pgvt\BLUE VINTAGE_design_preview.png,60xé60cem,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
BRITTON GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\BRITTON GREEN_tile_design.png,extracted_images\60x60 pgvt\BRITTON GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
COTO GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\COTO GREEN_tile_design.png,extracted_images\60x60 pgvt\COTO GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
CREECHVILLE GREE!,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\CREECHVILLE GREE!_tile_design.png,extracted_images\60x60 pgvt\CREECHVILLE GREE!_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
DALLAS VERDE,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\DALLAS VERDE_tile_design.png,extracted_images\60x60 pgvt\DALLAS VERDE_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
DANTE GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\DANTE GREEN_tile_design.png,extracted_images\60x60 pgvt\DANTE GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
DIANTHUS GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\DIANTHUS GREEN_tile_design.png,extracted_images\60x60 pgvt\DIANTHUS GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
ELEGANT GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\ELEGANT GREEN_tile_design.png,extracted_images\60x60 pgvt\ELEGANT GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
EMRALD GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\EMRALD GREEN_tile_design.png,extracted_images\60x60 pgvt\EMRALD GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
GREEN ONYX,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\GREEN ONYX_tile_design.png,extracted_images\60x60 pgvt\GREEN ONYX_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
MISTRO GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\MISTRO GREEN_tile_design.png,extracted_images\60x60 pgvt\MISTRO GREEN_design_preview.png,60x60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
PAEEBAL GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\PAEEBAL GREEN_tile_design.png,extracted_images\60x60 pgvt\PAEEBAL GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
RAIN FOREST GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\RAIN FOREST GREEN_tile_design.png,extracted_images\60x60 pgvt\RAIN FOREST GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
ROOSEVELT GREEN,Glazed Vitrified Tiles,extracted_images\60x60 pgvt\ROOSEVELT GREEN_tile_design.png,extracted_images\60x60 pgvt\ROOSEVELT GREEN_design_preview.png,60xé60cm,Glossy Finish,"Wall Tiles / Floor Tiles, Unknown, Fire Resistance, Unknown, Residential / Commercial Area"
